InputID,ComputedRoomID,RoomName
0,n/a,room_gms_debug_failsafe
1,n/a,ROOM_INITIALIZE
2,n/a,room_title_placeholder
3,n/a,room_battletest
4,n/a,room_cutscene_tester
5,n/a,room_sound_tester
6,n/a,room_sprite_tester
7,n/a,room_gif_tester
8,n/a,room_bullettest
9,n/a,room_GMS2_test
10,n/a,room_cutscene_tester_b
11,n/a,room_debug_color
12,n/a,room_debug_battle
13,n/a,room_debug_loc
14,n/a,PLACE_CONTACT
15,40014,room_krisroom
16,40015,room_krishallway
17,40016,room_torroom
18,40017,room_torhouse
19,40018,room_torbathroom
20,40019,room_town_krisyard
21,40020,room_town_northwest
22,40021,room_town_north
23,40022,room_beach
24,40023,room_town_mid
25,40024,room_town_apartments
26,40025,room_town_south
27,40026,room_town_school
28,40027,room_town_church
29,40028,room_graveyard
30,40029,room_town_shelter
31,40030,room_hospital_lobby
32,40031,room_hospital_hallway
33,40032,room_hospital_rudy
34,40033,room_hospital_room2
35,40034,room_diner
36,40035,room_townhall
37,40036,room_flowershop_1f
38,40037,room_flowershop_2f
39,40038,room_library
40,40039,room_alphysalley
41,40040,room_lw_computer_lab
42,40041,room_lw_library_upstairs
43,40042,room_lw_police
44,40043,room_lw_conbini
45,40044,room_lw_icee_pizza
46,40045,room_lw_church_entrance
47,40046,room_lw_church_main
48,40047,room_lw_noellehouse_main
49,40048,room_lw_noellehouse_kitchen
50,40049,room_lw_noellehouse_bathroom
51,40050,room_lw_noellehouse_keyroom
52,40051,room_lw_noellehouse_noelle
53,40052,room_lw_noellehouse_dess
54,40053,room_lw_noellehouse_closet
55,40054,room_torielclass
56,40055,room_schoollobby
57,40056,room_alphysclass
58,40057,room_schooldoor
59,40058,room_insidecloset
60,40059,room_school_unusedroom
61,40060,room_castle_tutorial
62,40061,room_dw_castle_east_door
63,40062,room_dw_castle_west_cliff
64,40063,room_dw_castle_area_1
65,40064,room_dw_castle_town
66,40065,room_dw_ralsei_castle_front
67,40066,room_dw_castle_restaurant
68,40067,room_dw_castle_cafe
69,40068,room_dw_castle_dojo
70,40069,room_dw_ralsei_castle_1f
71,40070,room_dw_ralsei_castle_2f
72,40071,room_dw_castle_dungeon
73,40072,room_dw_castle_rooms_kris
74,40073,room_dw_castle_rooms_susie
75,n/a,PLACE_DOG
76,n/a,room_legend
77,n/a,room_legend_neo
78,n/a,room_shop1
79,n/a,room_shop_music
80,n/a,room_gameover
81,n/a,PLACE_LOGO
82,n/a,PLACE_FAILURE
83,n/a,PLACE_NAMING_JIKKEN
84,40083,PLACE_MENU
85,n/a,room_ed
86,n/a,room_empty
87,n/a,room_DARKempty
88,n/a,room_test_climb_new
89,40088,room_cc_lancer
90,40089,room_cc_clover
91,40090,room_cc_fountain
92,n/a,PLACE_DOGCHECK2
93,n/a,room_debug_smallface_dark
94,n/a,room_debug_smallface
95,n/a,room_debug_choicer_dark
96,n/a,room_debug_choicer_light
97,n/a,room_debug_battleBalloon
98,n/a,room_overworldBulletEnemyTest
99,n/a,room_debug_layeredLevelTest
100,n/a,room_debug_windowEffect
101,40101,room_dw_church_slidingbookshelf
102,n/a,room_darkness_example
103,n/a,room_darkness_example_2
104,40104,room_dw_church_bellplay
105,40105,room_intro_ch4
106,40106,room_dw_church_candlelighting
107,40107,room_town_noellehouse
108,40108,room_dw_church_intro1
109,40109,room_dw_church_intro3
110,40110,room_dw_church_intro_guei
111,n/a,room_dw_church_darkroom1_old
112,n/a,room_dw_church_lantern1_old_old
113,40113,room_dw_church_lantern_hallway
114,n/a,room_dw_church_darkbell_old
115,40115,room_dw_church_gersonstudy
116,40116,room_dw_church_stairs_west_bell
117,40117,room_dw_church_librarybookenemy
118,40118,room_dw_church_bookshelfpuzzle1
119,40119,room_dw_church_bookshelfpuzzle2
120,40120,room_dw_church_worshiproom
121,40121,room_dw_church_swingingbell
122,40122,room_dw_church_tallbookcases
123,40123,room_dw_church_lantern2
124,40124,room_dw_church_smallbells
125,40125,room_dw_church_claw
126,40126,room_dw_church_shelfclimb1
127,40127,room_dw_church_statueclimb
128,40128,room_dw_church_offering
129,40129,room_dw_church_npcroom_shelfclimb
130,40130,room_dw_church_stairs_stainedglass
131,40131,room_dw_church_bellsareawest
132,40132,room_dw_church_stairs_topright
